hecho_id,sexo,identidad_genero,identidad_genero_otro,tr_edad,mayor_18_anios,tipo_involucrado
11535,Masculino,Varón,No especificado,45-49,Si,victima
11535,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11536,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11536,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11536,Masculino,Varón,No especificado,40-44,Si,victima
11537,Masculino,Varón,No especificado,25-29,Si,victima
11537,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11538,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11538,Masculino,Varón,No especificado,70-74,Si,victima
11539,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11539,Masculino,Varón,No especificado,15-19,No,victima
11540,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11540,Masculino,Varón,No especificado,70-74,Si,victima
11541,Masculino,Varón,No especificado,40-44,Si,victima
11541,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11542,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11542,Masculino,Varón,No especificado,70-74,Si,victima
11543,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11543,Femenino,Mujer,No especificado,40-44,Si,victima
11544,Masculino,Varón,No especificado,20-24,Si,victima
11544,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11545,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11545,Femenino,Mujer,No especificado,5-9,No,victima
11546,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11546,Masculino,Varón,No especificado,25-29,Si,victima
11546,Masculino,Varón,No especificado,35-39,Si,victima
11547,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11547,Masculino,Varón,No especificado,40-44,Si,victima
11548,Masculino,Varón,No especificado,35-39,Si,victima
11548,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11567,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11567,Femenino,Mujer,No especificado,4 o menos,No,victima
11568,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11568,Masculino,Varón,No especificado,45-49,Si,victima
11569,Masculino,Varón,No especificado,35-39,Si,victima
11569,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11570,Femenino,Mujer,No especificado,15-19,Si,victima
11570,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11571,Femenino,Mujer,No especificado,45-49,Si,victima
11571,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11572,Masculino,Varón,No especificado,15-19,Si,victima
11572,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
