localidad_id,localidad_nombre
100.0,Plottier
40.0,Cutral Có
70.0,Neuquén
10.0,Barrancas
30.0,Las Ovejas
40.0,Zapala
10.0,Añelo
130.0,Vista Alegre Norte
10.0,San Martín de los Andes
10.0,Piedra del Águila
10.0,Aluminé
50.0,Salta
220.0,Tartagal
20.0,Colonia Santa Rosa
40.0,Hipólito Yrigoyen (Est. Tabacal)
70.0,San Ramón de la Nueva Orán (Est. Orán)
20.0,Vaqueros
200.0,Profesor Salvador Mazza (Est. Pocitos)
40.0,Trelew
30.0,San Fernando del Valle de Catamarca
170.0,Santa Fe
310.0,Wheelwright
60.0,San Javier
20.0,Capitán Bermúdez
50.0,Fray Luis Beltrán
270.0,Rosario
310.0,Villa Gobernador Gálvez
310.0,Rafaela
70.0,El Trébol
180.0,Santo Tomé
10.0,Cayastá
130.0,San Lorenzo
80.0,Puerto General San Martín
230.0,Villa Ocampo
30.0,Los Zapallos
10.0,Alejandra
60.0,Ceres
220.0,San Cristóbal
160.0,Granadero Baigorria
350.0,Santa Clara de Saguier
200.0,Frontera
180.0,Reconquista
50.0,Romang
180.0,María Teresa
30.0,Comodoro Rivadavia
20.0,Sarmiento
30.0,Esquel
70.0,Gualjaina
60.0,Trevelín
20.0,Puerto Madryn
40.0,General Güemes (Est. Güemes)
40.0,Villa Los Álamos
10.0,El Galpón (Est. Foguista J. F. Juárez)
10.0,Aguas Blancas
120.0,Hickman
110.0,Londres
30.0,Rosario de Lerma
110.0,General Mosconi (Est. Vespucio)
60.0,Pichanal
20.0,La Silleta
60.0,Pluma de Pato
50.0,La Merced
20.0,Ushuaia
40.0,Río Gallegos
10.0,El Calafate
10.0,Caleta Olivia
70.0,Yacimientos Río Turbio
30.0,Coronel Juan Solá (Est. Morillo)
10.0,Chimbas
30.0,Colan Conhué
10.0,San Juan
100.0,Saujil
10.0,San Miguel de Tucumán (Est. Tucumán)
120.0,Pozo del Tigre
20.0,Formosa
100.0,Las Lomitas
70.0,Pico Truncado
50.0,Los Altos
10.0,Rawson
40.0,Rincón de los Sauces
105030.0,General Pico
21010.0,Anguil
35020.0,Eduardo Castex
10.0,Villa La Angostura
210.0,Pérez
50.0,Santa Rosa de Calchines
90.0,Coronda
230.0,Villa Constitución
60.0,Florencia
10.0,Cachi
30.0,Coronel Moldes
60.0,El Quebrachal
50.0,Rosario de la Frontera
10.0,Aguaray
50.0,Garabato
10.0,Apóstoles
60.0,Epuyén
10.0,Esperanza
30.0,Posadas (Municipio de Posadas)
20.0,Corcovado
60.0,San José
20.0,Libertad
20.0,Eldorado
50.0,Puerto Piray
30.0,María Magdalena
30.0,Puerto Iguazú
70.0,Leandro N. Alem
30.0,Colonia Aurora
60.0,25 de Mayo
80.0,Salto Encantado
10.0,Aristóbulo del Valle
80.0,Jardín América
10.0,Garupá
70.0,Arroyo Seco
220.0,Piñero (Est. Erasto)
30.0,Las Parejas
10.0,Colonia Polana
10.0,Almirante Brown
20.0,Mariano Moreno
90.0,Plaza Huincul
30.0,San Vicente
40.0,Villa Aberastain - La Rinconada
10.0,Rivadavia
40.0,San Isidro
21020.0,Santa Rosa
110.0,Senillosa
40.0,Alvear
50.0,Casilda
230.0,San Guillermo
90.0,Joaquín V. González
10.0,Campo Quijano
120.0,Villa Bonita
30.0,Campo Viera
10.0,Barrio San José III
30.0,Yerba Buena - Marcos Paz
120.0,Ranchillos
20.0,Banda del Río Salí
50.0,La Ramada
60.0,Diagonal Norte - Luz y Fuerza - Los Pocitos - Villa Nueva Italia
10.0,Alderetes
100.0,Villa Mariano Moreno - El Colmenar
50.0,Concepción
40.0,Barrio Parada 14
999.0,Lastenia
30.0,Ingenio San Pablo
50.0,Lules
20.0,El Manantial
20.0,Andalgalá
10.0,Graneros
60.0,Las Heras
140.0,Máximo Paz (Est. Paz)
30.0,Gregoria Pérez de Denis  (Est. El Nochero)
10.0,Florentino Ameghino
20.0,Candelaria
40.0,San Pedro
50.0,Tecka
10.0,Bonpland
80.0,Tostado
110.0,Los Cardos
100.0,Monte Vera
40.0,San Javier
50.0,San Antonio
20.0,Bernardo de Irigoyen
30.0,Dos Hermanas
20.0,Paraíso
10.0,Choromoro
40.0,Tafí del Valle
10.0,Atahona
60.0,Macomitas
30.0,Famaillá
20.0,San Pedro de Colalao
130.0,San Andrés
80.0,Tafí Viejo
10.0,Juan Bautista Alberdi
70.0,El Cadillal
10.0,Clorinda
80.0,Ibarreta
30.0,Comandante Fontana
70.0,Chañar Ladeado
160.0,San José del Rincón
220.0,Rufino
20.0,Avellaneda (Est. Ewald)
30.0,Carcarañá
30.0,Montecarlo
40.0,Mariano Boedo
20.0,Laguna Blanca
40.0,Pirané
140.0,San Martín II
50.0,Mojón de Fierro
10.0,El Potrillo
10.0,Ingeniero Guillermo N. Juárez
10.0,Colonia Campo Villafañe
10.0,Colonia Libertad
20.0,El Colorado
110.0,Luis Burela
40.0,Paso del Sapo
20.0,Corrientes
30.0,Paso de los Libres
30.0,Mercedes
10.0,Bella Vista
40.0,Santo Tomé
140.0,Recreo
230.0,Pueblo Esther
260.0,Suardi
20.0,Curuzú Cuatiá
10.0,El Soberbio
20.0,Paso de la Patria
30.0,Juan Pujol
20.0,Guaymallén
30.0,General Alvear (Est.Colonia Alvear Norte)
90.0,Luján de Cuyo
60.0,Tunuyán
100.0,San Martín
50.0,Las Heras
10.0,Godoy Cruz
60.0,Tupungato
120.0,Ugarteche
230.0,Villa Atuel
40.0,Los Corralitos
10.0,Mendoza
210.0,San Rafael
70.0,Rodeo del Medio
30.0,Eugenio Bustos
60.0,Maipú
10.0,Saladas
10.0,Esquina
160.0,Zanjitas
70.0,Villa Mercedes
60.0,La Toma
100.0,Juana Koslay
